Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
193-98-1685,B,Mandalay,Member,Female,Health and beauty,31.16,1,1.558,50000.0,1/15/2019,18:45,Cash,31.16,4.7619,1.558,6.7
957-41-3818,C,Naypyitaw,Member,Female,Health and beauty,67.54,8,27.016,567.336,02/07/2019,20:10,Cash,540.32,4.7619,27.016,6.7
673-64-5997,B,Mandalay,Member,Male,Electronic accessories,58.82,1,2.941,61.761,01/27/2019,19:44,Ewallet,58.82,4.7619,2.941,8.1
559-87-8738,B,Mandalay,Member,Male,Sports and travel,28.49,9,12.8205,269.2305,03/25/2019,20:49,Ewallet,256.41,4.7619,12.8205,5.1
310-21-7330,B,Mandalay,Member,Male,Sports and travel,72.48,9,32.616,684.936,02/25/2019,15:26,Cash,652.32,4.7619,32.616,9.1
235-49-3799,A,Yangon,Normal,Male,Home and lifestyle,34.75,6,10.425,218.925,01/15/2019,16:58,Cash,208.5,4.7619,10.425,6.1
459-79-3320,B,Mandalay,Member,Male,Home and lifestyle,88.93,9,40.0185,840.3885,01/12/2019,14:33,Cash,800.37,4.7619,40.0185,5.3
595-31-6846,C,Naypyitaw,Normal,Female,Health and beauty,89.82,3,13.473,282.933,01/07/2019,17:38,Ewallet,269.46,4.7619,13.473,7.9
387-96-2936,C,Naypyitaw,Normal,Female,Food and beverages,22.45,5,5.6125,117.8625,03/19/2019,20:13,Cash,112.25,4.7619,5.6125,9.6
606-82-5468,A,Yangon,Member,Male,Fashion accessories,12.34,7,4.319,90.699,01/05/2019,11:30,Cash,86.38,4.7619,4.319,7.4
939-62-3006,B,Mandalay,Member,Male,Electronic accessories,35.42,5,8.855,185.955,03/13/2019,16:29,Cash,177.1,4.7619,8.855,7.3
152-42-3368,A,Yangon,Member,Male,Home and lifestyle,65.78,5,16.445,345.345,03/10/2019,14:17,Cash,328.9,4.7619,16.445,4.6
831-24-8746,A,Yangon,Member,Female,Food and beverages,36.61,3,5.4915,115.3215,01/20/2019,17:50,Ewallet,109.83,4.7619,5.4915,9.8
801-58-3512,B,Mandalay,Member,Male,Home and lifestyle,13.73,5,3.4325,72.0825,03/24/2019,12:50,Ewallet,68.65,4.7619,3.4325,8.9
260-74-2049,C,Naypyitaw,Normal,Female,Home and lifestyle,66.85,1,3.3425,70.1925,03/11/2019,12:08,Cash,66.85,4.7619,3.3425,5.1
192-25-4372,C,Naypyitaw,Member,Female,Home and lifestyle,28.31,3,4.2465,89.1765,03/02/2019,20:48,Cash,84.93,4.7619,4.2465,4.5
924-97-4533,A,Yangon,Normal,Female,Food and beverages,61.15,6,18.345,385.245,02/07/2019,13:03,Credit card,366.9,4.7619,18.345,8.6
119-90-5385,C,Naypyitaw,Member,Female,Electronic accessories,56.15,2,5.615,117.915,01/30/2019,16:14,Ewallet,112.3,4.7619,5.615,7.4
752-32-6024,B,Mandalay,Normal,Male,Health and beauty,64.63,10,32.315,678.615,02/13/2019,16:11,Cash,646.3,4.7619,32.315,5.1
663-86-3076,C,Naypyitaw,Member,Female,Sports and travel,84.82,3,12.723,267.183,03/08/2019,19:42,Ewallet,254.46,4.7619,12.723,9.4
